,ImageId,BuildingId,PolygonWKT_Pix,PolygonWKT_Geo,geometry,iou_score
0,AOI_2_Vegas_img3457,1,"POLYGON ((230.11 542.07 0,204.78 541.94 0,204.61 564.45 0,177.46 564.32 0,177.42 568.76 0,164.43 568.69 0,164.2 597.85 0,178.24 597.92 0,178.12 613.19 0,200.64 613.3 0,200.75 599.42 0,229.66 599.56 0,230.11 542.07 0))","POLYGON ((-115.21739131 36.181239121000033 0,-115.217392504999964 36.181083877000049 0,-115.217470583999955 36.181084268000063 0,-115.217470871999978 36.181046782000067 0,-115.217531680999969 36.181047088000071 0,-115.217531363999967 36.181088314000078 0,-115.217569252999965 36.181088504000058 0,-115.21756864799994 36.181167229000039 0,-115.217533557999957 36.181167053000024 0,-115.217533464999974 36.181179047000057 0,-115.217460161999952 36.181178679000027 0,-115.217459693999956 36.181239464000043 0,-115.21739131 36.181239121000033 0))","POLYGON Z ((230.11 542.0700000000001 0, 204.78 541.9400000000001 0, 204.61 564.45 0, 177.46 564.3200000000001 0, 177.42 568.76 0, 164.43 568.6900000000001 0, 164.2 597.85 0, 178.24 597.92 0, 178.12 613.1900000000001 0, 200.64 613.3 0, 200.75 599.42 0, 229.66 599.5599999999999 0, 230.11 542.0700000000001 0))",0.6969060813200635
1,AOI_2_Vegas_img3457,2,"POLYGON ((101.94 537.25 0,72.09 537.8 0,72.95 567.68 0,97.98 567.21 0,98.71 592.53 0,137.68 591.8 0,136.25 541.85 0,102.09 542.49 0,101.94 537.25 0))","POLYGON ((-115.21773737 36.181252136000069 0,-115.217736963999982 36.18123797700008 0,-115.21764473799999 36.18123969800007 0,-115.217640873999983 36.181104831000027 0,-115.217746083999941 36.18110286700005 0,-115.217748041999982 36.181171229000029 0,-115.217815634999965 36.181169968000063 0,-115.217817944999979 36.181250633000047 0,-115.21773737 36.181252136000069 0))","POLYGON Z ((101.94 537.25 0, 72.09 537.8 0, 72.95 567.6799999999999 0, 97.98 567.21 0, 98.70999999999999 592.53 0, 137.68 591.8 0, 136.25 541.85 0, 102.09 542.49 0, 101.94 537.25 0))",0.8192251875474869
2,AOI_2_Vegas_img3457,3,"POLYGON ((51.41 536.38 0,19.18 537.57 0,20.07 553.14 0,10.38 553.5 0,10.82 561.39 0,0.0 561.79 0,0.0 592.28 0,54.47 590.27 0,51.41 536.38 0))","POLYGON ((-115.217873800999939 36.181254469000066 0,-115.217865543999949 36.181108972000061 0,-115.218012599821591 36.181103536019876 0,-115.218012599821591 36.181185860899824 0,-115.21798337499996 36.181186942000068 0,-115.217984584999954 36.18120826300003 0,-115.217958421999981 36.181209231000025 0,-115.217960805999951 36.181251253000028 0,-115.217873800999939 36.181254469000066 0))","POLYGON Z ((51.41 536.38 0, 19.18 537.5700000000001 0, 20.07 553.14 0, 10.38 553.5 0, 10.82 561.39 0, 0 561.79 0, 0 592.28 0, 54.47 590.27 0, 51.41 536.38 0))",0.8453880146144677
3,AOI_2_Vegas_img3457,4,"POLYGON ((282.81 520.66 0,245.8 534.0 0,280.51 596.7 0,340.87 574.93 0,332.63 560.04 0,339.82 557.45 0,330.14 539.98 0,322.96 542.57 0,315.9 529.81 0,292.54 538.24 0,282.81 520.66 0))","POLYGON ((-115.217249008999943 36.181296929000041 0,-115.217222733999961 36.181249464000075 0,-115.217159678999963 36.181272204000038 0,-115.217140614999948 36.181237764000059 0,-115.217121214999963 36.181244760000027 0,-115.217095097999959 36.181197581000049 0,-115.217114497999944 36.181190584000035 0,-115.21709224599999 36.181150388000049 0,-115.217255232999946 36.181091608000031 0,-115.21734894 36.181260890000033 0,-115.217249008999943 36.181296929000041 0))","POLYGON Z ((282.81 520.66 0, 245.8 534 0, 280.51 596.7 0, 340.87 574.9299999999999 0, 332.63 560.04 0, 339.82 557.45 0, 330.14 539.98 0, 322.96 542.5700000000001 0, 315.9 529.8099999999999 0, 292.54 538.24 0, 282.81 520.66 0))",0.8322470066180069
4,AOI_2_Vegas_img3457,5,"POLYGON ((382.07 477.73 0,324.11 459.67 0,311.11 486.86 0,305.0 484.95 0,294.39 507.15 0,323.59 516.24 0,327.26 508.57 0,350.92 515.94 0,356.67 503.9 0,367.88 507.39 0,382.07 477.73 0))","POLYGON ((-115.216981011999962 36.181412830000056 0,-115.217019310999945 36.181332737000048 0,-115.21704957899999 36.181342166000036 0,-115.217065118999983 36.18130966800004 0,-115.217129006999983 36.181329572000038 0,-115.217138914999964 36.18130885000005 0,-115.217217740999956 36.181333407000068 0,-115.217189090999966 36.181393323000066 0,-115.217172606999952 36.181388187000039 0,-115.21713750899994 36.181461584000033 0,-115.216981011999962 36.181412830000056 0))","POLYGON Z ((382.07 477.73 0, 324.11 459.67 0, 311.11 486.86 0, 305 484.95 0, 294.39 507.15 0, 323.59 516.24 0, 327.26 508.57 0, 350.92 515.9400000000001 0, 356.67 503.9 0, 367.88 507.39 0, 382.07 477.73 0))",0.8205606371371863
5,AOI_2_Vegas_img3457,6,"POLYGON ((159.33 438.89 0,159.33 426.1 0,183.28 426.1 0,183.28 393.42 0,120.95 393.42 0,120.95 414.17 0,108.98 414.17 0,108.98 438.89 0,159.33 438.89 0))","POLYGON ((-115.217582400999959 36.181517688000042 0,-115.217718353999942 36.181517688000042 0,-115.217718353999942 36.181584450000059 0,-115.21768603 36.181584450000059 0,-115.21768603 36.181640468000069 0,-115.217517752999981 36.181640468000069 0,-115.217517752999981 36.181552220000071 0,-115.217582400999959 36.181552220000071 0,-115.217582400999959 36.181517688000042 0))","POLYGON Z ((159.33 438.89 0, 159.33 426.1 0, 183.28 426.1 0, 183.28 393.42 0, 120.95 393.42 0, 120.95 414.17 0, 108.98 414.17 0, 108.98 438.89 0, 159.33 438.89 0))",0.7741803910087685
6,AOI_2_Vegas_img3457,7,"POLYGON ((52.89 409.31 0,70.25 408.77 0,69.51 393.3 0,52.15 393.84 0,0.0 395.46 0,0.0 420.85 0,5.35 420.68 0,6.62 447.2 0,54.62 445.71 0,52.89 409.31 0))","POLYGON ((-115.217869804999964 36.181597575000069 0,-115.217865120999988 36.181499271000064 0,-115.217994738999948 36.181495248000033 0,-115.21799815199995 36.181566861000078 0,-115.218012599821591 36.181566412621173 0,-115.218012599821591 36.18163495942656 0,-115.217871794999951 36.181639331000042 0,-115.217824922999966 36.18164078600006 0,-115.217822932999979 36.181599030000029 0,-115.217869804999964 36.181597575000069 0))","POLYGON Z ((52.89 409.31 0, 70.25 408.77 0, 69.51000000000001 393.3 0, 52.15 393.84 0, 0 395.46 0, 0 420.85 0, 5.35 420.68 0, 6.62 447.2 0, 54.62 445.71 0, 52.89 409.31 0))",0.7845801888705872
7,AOI_2_Vegas_img3457,8,"POLYGON ((366.29 388.17 0,295.58 390.42 0,296.76 414.71 0,325.41 413.8 0,326.81 442.4 0,368.87 441.07 0,366.29 388.17 0))","POLYGON ((-115.21702363 36.181654639000044 0,-115.217016663999971 36.181511821000072 0,-115.217130214999941 36.181508213000029 0,-115.21713398199995 36.181585440000049 0,-115.217211341999985 36.181582982000066 0,-115.217214540999976 36.181648573000075 0,-115.21702363 36.181654639000044 0))","POLYGON Z ((366.29 388.17 0, 295.58 390.42 0, 296.76 414.71 0, 325.41 413.8 0, 326.81 442.4 0, 368.87 441.07 0, 366.29 388.17 0))",0.6486550994785412
8,AOI_2_Vegas_img3457,9,"POLYGON ((50.7 376.93 0,50.7 344.61 0,59.07 344.61 0,59.07 329.68 0,50.7 329.68 0,5.37 329.68 0,5.37 353.49 0,0.0 353.49 0,0.0 376.93 0,50.7 376.93 0))","POLYGON ((-115.217875697999943 36.181684976000042 0,-115.218012599821591 36.181684976000042 0,-115.218012599821591 36.181748283000047 0,-115.217998102999957 36.181748283000047 0,-115.217998102999957 36.181812551000064 0,-115.217875697999943 36.181812551000064 0,-115.21785311799999 36.181812551000064 0,-115.21785311799999 36.181772264000074 0,-115.217875697999943 36.181772264000074 0,-115.217875697999943 36.181684976000042 0))","POLYGON Z ((50.7 376.93 0, 50.7 344.61 0, 59.07 344.61 0, 59.07 329.68 0, 50.7 329.68 0, 5.37 329.68 0, 5.37 353.49 0, 0 353.49 0, 0 376.93 0, 50.7 376.93 0))",0.8102709980170206
9,AOI_2_Vegas_img3457,10,"POLYGON ((149.12 322.04 0,98.33 323.53 0,99.65 353.05 0,111.2 352.71 0,112.24 375.95 0,184.95 373.83 0,183.93 351.13 0,150.47 352.11 0,149.12 322.04 0))","POLYGON ((-115.217609970999945 36.18183317900008 0,-115.21760633699995 36.18175201300005 0,-115.217515980999963 36.181754648000037 0,-115.217513235999945 36.181693353000071 0,-115.217709555999988 36.181687625000052 0,-115.217712365999944 36.181750371000078 0,-115.217743542999983 36.181749461000038 0,-115.217747112999973 36.181829177000054 0,-115.217609970999945 36.18183317900008 0))","POLYGON Z ((149.12 322.04 0, 98.33 323.53 0, 99.65000000000001 353.05 0, 111.2 352.71 0, 112.24 375.95 0, 184.95 373.83 0, 183.93 351.13 0, 150.47 352.11 0, 149.12 322.04 0))",0.7536719383249613
